group	module	version	licenseNames	licenseUrls	pomSha256
androidx.vectordrawable	vectordrawable-animated	1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	276a20116b705fb75b9003ee9496c56f6fd3b32375fb232472811eba60a040bd
androidx.versionedparcelable	versionedparcelable	1.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	5f51e65873ca612de3838fa90d2ee95b8d040efd31b9c390a19bf94d615cdb2f
androidx.viewpager	viewpager	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1f72f836339d03c6eb013f65075e76ca87075a577578eb4f95f74a3a5d253128
androidx.window	window	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d4f22b991a69600e2ffc36b42ac199626fd96d5f1648c3beeccd35de06fcc351
androidx.window	window-core	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	e38a30fe9a9ccb575531b265fec8e23207bda9818977aae495f3fe74b9c9e1f3
androidx.window	window-core-android	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	463c50b22a969c6274ebdb7b5f56ba1ea1dde352e9679f0a0ba90f3971dbcd57
com.google.android.datatransport	transport-api	2.2.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.datatransport	transport-backend-cct	2.3.3	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.datatransport	transport-runtime	2.2.6	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-auth	21.6.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-auth-api-phone	18.0.2	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-auth-base	18.0.10	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-base	18.5.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	2570b515c2717af386c890e97f644782e3f86da7b677a4ff1036147e7ea622a4
com.google.android.gms	play-services-basement	18.9.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	601ef047167c6c280b8b190942d9e94a0463e891acd9c6ccf532eb298a5efe5b
com.google.android.gms	play-services-fido	20.0.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-mlkit-barcode-scanning	18.3.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-mlkit-text-recognition	19.0.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-mlkit-text-recognition-common	19.1.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.android.gms	play-services-tasks	18.2.0	Android Software Development Kit License	https://developer.android.com/studio/terms.html	6b99c48a895d155e58abcee66cc22146db83abd5d84caf6c8f7a2aea9b1bcd21
com.google.android.odml	image	1.0.0-beta1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.firebase	firebase-annotations	16.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.firebase	firebase-components	16.1.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.firebase	firebase-encoders	16.1.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.firebase	firebase-encoders-json	17.1.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.guava	listenablefuture	1.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	53873caf26bc1ed8a567ea6c939ab2aaa3f47a5e32d5cade95ddf5080d23238a
com.google.mlkit	barcode-scanning	17.3.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.mlkit	barcode-scanning-common	17.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.mlkit	common	18.11.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.mlkit	text-recognition	16.0.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.mlkit	text-recognition-bundled-common	17.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.mlkit	vision-common	17.3.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.mlkit	vision-interfaces	16.3.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
com.google.zxing	core	3.5.3	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
javax.inject	javax.inject	1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	943e12b100627804638fa285805a0ab788a680266531e650921ebfe4621a8bfa
org.jetbrains	annotations	23.0.0	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	c9490f655132328df2cfbcfdf743f53fc3916d6c1d10437175a6ca6e3a67771c
org.jetbrains.kotlin	kotlin-stdlib	2.3.21	Apache-2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	3e0b48daa14dc73f8029d8d9e15ed32940377caf7b915510f88d33219b350186
org.jetbrains.kotlinx	kotlinx-coroutines-android	1.9.0	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	be86020cd5b93b8a68ca43185a049b9b0baa345fd1be1fdaa014fdaef92d6e7c
org.jetbrains.kotlinx	kotlinx-coroutines-bom	1.9.0	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	bea5511e9001f2c593ab5080df131b219ab5e2085cc5979ce583eacd4946fd78
org.jetbrains.kotlinx	kotlinx-coroutines-core	1.9.0	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	770f2793d05e2b027b9c799938ec1d2d4ef141ce5819c780c32c3995cadb0a47
org.jetbrains.kotlinx	kotlinx-coroutines-core-jvm	1.9.0	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	19c4889941b3aa098bd57cc64f02f9adacc654d571a12a956de4b5bb148c6499
org.jetbrains.kotlinx	kotlinx-coroutines-play-services	1.9.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
org.jetbrains.kotlinx	kotlinx-serialization-bom	1.7.3	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	4226a491c5b59ce909f73b65aa98944191c8dcac3825637c6be1069e6b589a46
org.jetbrains.kotlinx	kotlinx-serialization-core	1.7.3	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	31d111776b9af777ca167103f2d61fbeeaa32dae6dd6635906b76d8278ba5730
org.jetbrains.kotlinx	kotlinx-serialization-core-jvm	1.7.3	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt	734f5f749208dd0bef3d98caa594cf9222afdf0fee5b6843347a8fe64e240427
org.jspecify	jspecify	1.0.0	The Apache License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	cdab929a3b95211f43d2090c5e2d0dfe8465960e378bc32b35841dab324433a6
